CODI LAT LON
BIKF 63.985 -2.4005555555555556
EBAW 51.18944444444444 0.7202777777777777
EBBR 50.90138888888889 0.725
EBLG 50.63638888888889 0.8841666666666667
EBOS 51.19888888888889 0.42055555555555557
EDDB 52.36222222222222 1.55
EDDF 50.03333333333333 1.3947222222222222
EDDH 53.63027777777778 1.608611111111111
EDDK 50.865833333333335 1.1897222222222223
EDDL 51.280833333333334 1.0811111111111111
EDDM 48.35388888888889 1.2530555555555556
EDDN 49.49861111111111 1.1788888888888889
EDDP 51.42388888888889 1.361388888888889
EDDS 48.69 1.5252777777777777
EDDT 52.55972222222222 1.5363888888888888
EDDV 52.46027777777778 1.5694444444444444
EETN 59.413333333333334 2.7597222222222224
EFHK 60.31722222222223 2.7705555555555557
EHAM 52.308055555555555 0.748611111111111
EHEH 51.45 0.8727777777777778
EHRD 51.956944444444446 0.7169444444444444
EKBI 55.74027777777778 1.525
EKCH 55.61805555555556 1.4088888888888889
ELLX 49.623333333333335 1.0225
ENBR 60.29361111111111 0.8583333333333333
ENGM 60.20277777777778 1.1805555555555556
EPKK 50.07777777777778 2.586111111111111
EPKT 50.47416666666667 2.5122222222222224
EPWA 52.16583333333333 2.1055555555555556
ESGG 57.66 1.37
ESKN 58.78861111111111 2.094722222222222
ESSA 59.651944444444446 2.263888888888889
EVRA 56.92361111111111 2.6058333333333334
EYVI 54.636944444444445 2.8697222222222223
LCLK 34.87888888888889 3.5705555555555555
LEAL 38.282222222222224 -0.05888888888888889
LEAM 36.84388888888889 -0.3725
LEAS 43.56361111111111 -1.0055555555555555
LEBB 43.301111111111105 -0.4286111111111111
LEBL 41.29694444444444 0.34555555555555556
LEBZ 38.89138888888889 -1.0919444444444444
LECO 43.301944444444445 -1.3730555555555557
LEGE 41.90083333333333 0.41472222222222227
LEGR 37.18861111111111 -0.5841666666666666
LEIB 38.87277777777778 0.20611111111111113
LEJR 36.74472222222222 -1.0091666666666668
LELN 42.58861111111111 -0.9088888888888889
LEMD 40.47222222222222 -0.5591666666666667
LEMG 36.675 -0.7263888888888889
LEMH 39.862500000000004 0.6916666666666667
LEPA 39.55166666666666 0.4116666666666667
LESO 43.35638888888889 -0.25333333333333335
LEST 42.896388888888886 -1.3791666666666667
LEVC 39.489444444444445 -0.05694444444444444
LEVD 41.70611111111111 -0.7527777777777778
LEVX 42.22916666666667 -1.4036111111111111
LEXJ 43.426944444444445 -0.5919444444444444
LEZL 37.418055555555554 -0.9263888888888888
LFBD 44.828611111111115 -0.07361111111111111
LFBT 43.18555555555555 -0.0002777777777777778
LFCK 43.555 0.37
LFLL 45.72555555555556 0.8458333333333333
LFMD 43.546388888888885 1.1030555555555555
LFML 43.43666666666666 0.8569444444444444
LFMN 43.665277777777774 1.1902777777777778
LFOB 49.45444444444445 0.3511111111111111
LFPG 49.00972222222222 0.3902777777777778
LFPO 48.723333333333336 0.3733333333333333
LFQQ 50.56333333333333 0.5141666666666667
LFRN 48.07194444444445 -0.24305555555555555
LFRS 47.15694444444444 -0.2338888888888889
LFSB 47.59 1.2205555555555554
LFST 48.54194444444444 1.2388888888888887
LGAV 37.93666666666666 2.6011111111111114
LGIR 35.33972222222222 2.8511111111111114
LGKR 39.60194444444445 2.5955555555555554
LGMK 37.43722222222222 2.868055555555556
LGSR 36.399166666666666 2.89
LGTS 40.51972222222222 2.4391666666666665
LHBP 47.43944444444444 2.5316666666666667
LIBD 41.13805555555555 2.0819444444444444
LICJ 38.18194444444444 1.5152777777777777
LIEE 39.24722222222222 1.508888888888889
LIEO 40.89861111111111 1.5527777777777778
LIMC 45.63 1.4088888888888889
LIME 45.66888888888889 1.5722222222222222
LIMF 45.2025 1.2402777777777776
LIML 45.44944444444444 1.5344444444444443
LIPE 44.530833333333334 1.203888888888889
LIPH 45.65083333333333 1.3541666666666667
LIPX 45.396388888888886 1.0919444444444444
LIPZ 45.50527777777778 1.3694444444444445
LIRF 41.80027777777777 1.3616666666666668
LIRN 40.88444444444444 1.7033333333333334
LIRP 43.68277777777777 1.0427777777777778
LIRQ 43.808611111111105 1.1891666666666667
LKPR 50.100833333333334 1.6980555555555557
LMML 35.8575 1.7230555555555556
LOWW 48.11027777777778 2.0613888888888887
LPPR 41.23555555555556 -1.401111111111111
LPPT 38.774166666666666 -1.5222222222222221
LSGG 46.23833333333334 1.0175
LSZG 47.18138888888889 1.2125
LSZH 47.45805555555556 1.3902777777777777
