CODI LAT LON
BIKF 63.985 -22.605555555555558
EBAW 51.18944444444444 4.460277777777778
EBBR 50.90138888888889 4.484444444444445
EBLG 50.63638888888889 5.442777777777778
EBOS 51.19888888888889 2.8622222222222224
EDDB 52.36222222222222 13.500555555555556
EDDF 50.03333333333333 8.570555555555556
EDDH 53.63027777777778 9.988333333333333
EDDK 50.865833333333335 7.142777777777778
EDDL 51.280833333333334 6.7572222222222225
EDDM 48.35388888888889 11.786111111111111
EDDN 49.49861111111111 11.078055555555554
EDDP 51.42388888888889 12.236388888888888
EDDS 48.69 9.221944444444444
EDDT 52.55972222222222 13.287777777777778
EDDV 52.46027777777778 9.68361111111111
EETN 59.413333333333334 24.8325
EFHK 60.31722222222223 24.96333333333333
EHAM 52.308055555555555 4.764166666666667
EHEH 51.45 5.374444444444444
EHRD 51.956944444444446 4.437222222222222
EKBI 55.74027777777778 9.151666666666667
EKCH 55.61805555555556 12.65611111111111
ELLX 49.623333333333335 6.204444444444444
ENBR 60.29361111111111 5.218055555555556
ENGM 60.20277777777778 11.08388888888889
EPKK 50.07777777777778 19.784722222222225
EPKT 50.47416666666667 19.08
EPWA 52.16583333333333 20.96722222222222
ESGG 57.66 12.29111111111111
ESKN 58.78861111111111 16.90361111111111
ESSA 59.651944444444446 17.91861111111111
EVRA 56.92361111111111 23.97111111111111
EYVI 54.636944444444445 25.28777777777778
LCLK 34.87888888888889 33.63027777777778
LEAL 38.282222222222224 -0.5580555555555556
LEAM 36.84388888888889 -2.37
LEAS 43.56361111111111 -6.034722222222222
LEBB 43.301111111111105 -2.9105555555555553
LEBL 41.29694444444444 2.0783333333333336
LEBZ 38.89138888888889 -6.8213888888888885
LECO 43.301944444444445 -8.377222222222223
LEGE 41.90083333333333 2.7605555555555554
LEGR 37.18861111111111 -3.777222222222222
LEIB 38.87277777777778 1.3730555555555557
LEJR 36.74472222222222 -6.06
LELN 42.58861111111111 -5.6561111111111115
LEMD 40.47222222222222 -3.560833333333333
LEMG 36.675 -4.4991666666666665
LEMH 39.862500000000004 4.2186111111111115
LEPA 39.55166666666666 2.738888888888889
LESO 43.35638888888889 -1.7905555555555555
LEST 42.896388888888886 -8.415277777777778
LEVC 39.489444444444445 -0.4816666666666667
LEVD 41.70611111111111 -4.851944444444444
LEVX 42.22916666666667 -8.627500000000001
LEXJ 43.426944444444445 -3.82
LEZL 37.418055555555554 -5.898888888888888
LFBD 44.828611111111115 -0.7152777777777777
LFBT 43.18555555555555 -0.002777777777777778
LFCK 43.555 2.2905555555555552
LFLL 45.72555555555556 5.0811111111111105
LFMD 43.546388888888885 6.954166666666667
LFML 43.43666666666666 5.215
LFMN 43.665277777777774 7.215
LFOB 49.45444444444445 2.112777777777778
LFPG 49.00972222222222 2.5477777777777777
LFPO 48.723333333333336 2.3794444444444447
LFQQ 50.56333333333333 3.0869444444444447
LFRN 48.07194444444445 -1.7322222222222223
LFRS 47.15694444444444 -1.607777777777778
LFSB 47.59 7.529166666666667
LFST 48.54194444444444 7.634444444444444
LGAV 37.93666666666666 23.944444444444446
LGIR 35.33972222222222 25.18027777777778
LGKR 39.60194444444445 19.91222222222222
LGMK 37.43722222222222 25.34722222222222
LGSR 36.399166666666666 25.479166666666664
LGTS 40.51972222222222 22.97083333333333
LHBP 47.43944444444444 19.261944444444445
LIBD 41.13805555555555 16.765
LICJ 38.18194444444444 13.099444444444446
LIEE 39.24722222222222 9.056111111111111
LIEO 40.89861111111111 9.517777777777779
LIMC 45.63 8.723055555555556
LIME 45.66888888888889 9.700277777777776
LIMF 45.2025 7.649444444444444
LIML 45.44944444444444 9.278333333333334
LIPE 44.530833333333334 11.296944444444444
LIPH 45.65083333333333 12.197777777777778
LIPX 45.396388888888886 10.887777777777778
LIPZ 45.50527777777778 12.351944444444444
LIRF 41.80027777777777 12.238888888888889
LIRN 40.88444444444444 14.290833333333333
LIRP 43.68277777777777 10.395555555555555
LIRQ 43.808611111111105 11.202777777777778
LKPR 50.100833333333334 14.26
LMML 35.8575 14.477500000000001
LOWW 48.11027777777778 16.56972222222222
LPPR 41.23555555555556 -8.678055555555554
LPPT 38.774166666666666 -9.134166666666665
LSGG 46.23833333333334 6.109444444444444
LSZG 47.18138888888889 7.416388888888889
LSZH 47.45805555555556 8.548055555555555
