AIRCRAFT DESTINATION DEPARTURE AIRLINE
ECMMH GCXO 10:10 VLG
GEZBI EGGW 10:13 EZY
SXDGQ LGAV 10:14 AEE
GOZBE EGCC 10:14 MON
ECLAA EDDH 10:14 VLG
IBIXR LIRF 10:16 AZA
YRBAP LROP 10:17 BMS
ECMBF EDDN 10:17 VLG
EIDCJ LIME 10:23 RYR
ECMBY EGGP 10:24 VLG
ECLXV LEPA 10:26 AEA
DAIDF EDDM 10:26 DLH
ECMMU GCLP 10:27 VLG
ECMFB ENGM 10:27 VLG
ECJQQ LEMD 10:29 AEA
LNNGP ENGM 10:32 NAX
VPBWG ULLI 10:33 SDM
ECMHB EDDS 10:37 VLG
ECMIQ LIRQ 10:39 VLG
GEZTA EGKK 10:40 EZY
ECMKT EFHK 10:40 VLG
GEZAT LFLL 10:41 EZY
LNDYW EKCH 10:42 NAX
ECLUT GCXO 10:43 AEA
HBJYI LSGG 10:46 EZS
ECMKN EDDV 10:48 VLG
ECMBK LEJR 10:51 VLG
ECMHS GCRR 10:52 VLG
EIDHP EGBB 10:52 RYR
ECJTQ LFPG 10:55 VLG
GCELG EGCC 10:57 EXS
N790AN KMIA 10:57 AAL
DAISG EDDF 11:04 DLH
ECMGZ EGKK 11:06 VLG
CSDGW LEMD 11:07 VVV
CNRGG GMMN 11:08 RAM
ECMAH LOWW 11:09 VLG
GGDFK EGNM 11:10 EXS
TSIMV DTTA 11:17 TAR
ECMBT LEAS 11:17 VLG
ECKLT EBBR 11:20 VLG
VQBHK UUEE 11:21 AFL
ECLSA LPPR 11:26 VLG
ECHUI LEMD 11:26 IBE
CSTRN ESSA 11:27 VLG
GEUYC EGLL 11:29 BAW
ECMGF LEMH 11:31 VLG
PHBXP EHAM 11:35 KLM
EIIMU LIML 11:36 AZA
ECKRH LECO 11:37 VLG
ECMJR LIRN 11:38 VLG
EIDHG LIRF 11:40 RYR
ECJGM LEBB 11:42 VLG
ECLRG EGNM 11:44 VLG
GEZWZ LFPG 11:45 EZY
ECLQM EDDT 11:46 VLG
